date,"CPI All items, seasonally adjusted","CPI All items, less food and energy, seasonally adjusted","CPI Gasoline (all types), seasonally adjusted"
2019-01-01,251.712,230.765,201.194
2019-02-01,252.776,231.792,206.749
2019-03-01,254.202,233.29,225.282
2019-04-01,255.548,234.723,248.499
2019-05-01,256.092,235.131,254.551
2019-06-01,256.143,234.791,242.043
2019-07-01,256.571,235.071,244.0
2019-08-01,256.558,234.853,233.625
2019-09-01,256.759,234.802,231.496
2019-10-01,257.346,235.538,235.168
2019-11-01,257.208,235.162,232.575
2019-12-01,256.974,234.656,228.857
2020-01-01,257.971,235.553,227.01
2020-02-01,258.678,236.084,218.373
2020-03-01,258.115,235.184,202.205
2020-04-01,256.389,232.86,168.891
2020-05-01,256.394,232.598,168.528
2020-06-01,257.797,234.316,185.422
2020-07-01,259.101,235.82,194.397
2020-08-01,259.918,236.785,194.449
2020-09-01,260.28,237.237,195.888
2020-10-01,260.388,237.328,192.792
2020-11-01,260.229,237.052,187.609
2020-12-01,260.474,237.289,193.99
2021-01-01,261.582,238.594,207.406
2021-02-01,263.014,240.288,221.689
2021-03-01,264.877,242.43,247.652
2021-04-01,267.054,244.958,252.603
2021-05-01,269.195,247.484,263.17
2021-06-01,271.696,250.261,268.979
2021-07-01,273.003,251.473,275.656
2021-08-01,273.567,252.072,277.448
2021-09-01,274.31,252.664,278.338
2021-10-01,276.589,255.337,288.501
2021-11-01,277.948,256.714,296.571
2021-12-01,278.802,257.431,290.185
2022-01-01,281.148,260.156,290.416
2022-02-01,283.716,262.949,305.959
2022-03-01,287.504,267.42,366.499
2022-04-01,289.109,268.974,362.802
2022-05-01,292.296,272.55,391.262
2022-06-01,296.311,277.194,430.142
2022-07-01,296.276,276.416,396.952
2022-08-01,296.171,275.409,348.593
2022-09-01,296.808,275.381,328.918
2022-10-01,298.012,276.154,339.017
2022-11-01,297.711,274.96,326.649
2022-12-01,296.797,272.711,285.757
2023-01-01,299.17,274.976,294.759
2023-02-01,300.84,276.174,299.774
2023-03-01,301.836,276.61,302.673
2023-04-01,303.363,278.101,318.482
2023-05-01,304.127,278.336,314.116
2023-06-01,305.109,279.002,316.258
2023-07-01,305.691,279.181,318.071
2023-08-01,307.026,280.663,336.979
2023-09-01,307.789,280.869,338.893
2023-10-01,307.671,280.313,320.999
2023-11-01,307.051,278.876,297.598
2023-12-01,306.746,277.848,280.289
2024-01-01,308.417,279.224,276.003
2024-02-01,310.326,281.119,287.943
2024-03-01,312.332,283.05,306.513
2024-04-01,313.548,284.224,322.434
2024-05-01,314.069,284.261,320.981
2024-06-01,314.175,284.023,308.475
